mileage,year,fuelType,price,engineVolume,power,registration,userType,gearBox,interiorMaterial,chassis
208200,2001,Dizel,1600,1900,59,05.2017.,user,Manuelni 5 brzina,Štof,Hečbek
131364,2003,Benzin,2150,1598,83,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
211300,2005,Dizel,3300,1870,96,06.2017.,user,Manuelni 6 brzina,,Karavan
179000,2003,Dizel,2399,1890,88,Nije registrovan,user,Manuelni 6 brzina,Štof,Hečbek
147000,2006,Dizel,3490,1490,63,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
148300,2008,Dizel,4400,1995,110,10.2016.,user,Manuelni 6 brzina,Kombinovana koža,Karavan
159000,2002,Benzin,999999999,1390,70,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
220000,2003,Dizel,2050,1500,60,10.2016.,user,Manuelni 5 brzina,Štof,Hečbek
174000,2006,Dizel,3450,1899,95,12.2016.,user,Manuelni 6 brzina,Štof,Karavan
173755,2007,Dizel,3590,1461,63,11.2016.,user,Manuelni 5 brzina,Štof,Hečbek
186000,2003,Benzin,1990,1396,61,Nije registrovan,user,Manuelni 5 brzina,,Limuzina
223179,2005,Dizel,2750,1500,78,Nije registrovan,user,Manuelni 6 brzina,Štof,Hečbek
159914,2012,Dizel,6400,1500,66,12.2016.,user,Manuelni 5 brzina,,Hečbek
141000,2002,Benzin,999999999,1598,79,10.2016.,user,Manuelni 5 brzina,Štof,Kupe
186000,2002,Dizel,1900,1870,59,07.2017.,user,Manuelni 5 brzina,Kombinovana koža,Limuzina
400000,2004,Dizel,3100,1461,60,03.2017.,user,Manuelni 5 brzina,Štof,Limuzina
195000,2003,Dizel,2950,1890,88,05.2017.,user,Manuelni 6 brzina,,Limuzina
78000,2010,Benzin,7900,1397,96,11.2016.,user,Manuelni 6 brzina,Štof,Kupe
222654,2003,Dizel,2500,1900,88,07.2017.,user,Manuelni 6 brzina,Štof,Hečbek
167523,2004,Benzin,2250,1390,72,07.2017.,user,Manuelni 5 brzina,,Karavan
44800,2010,Benzin,7100,1598,81,02.2017.,user,Manuelni 5 brzina,,Hečbek
11221,1997,Benzin,1350,1400,52,08.2017.,user,Manuelni 5 brzina,,Hečbek
168000,2003,Benzin + Gas (TNG),2300,1600,83,11.2016.,user,Manuelni 5 brzina,Velur,Kupe
192000,2010,Dizel,5199,1461,63,01.2017.,user,Manuelni 5 brzina,Štof,Hečbek
230000,2000,Dizel,1499,1895,75,06.2017.,user,Manuelni 5 brzina,Štof,Hečbek
200000,1998,Benzin,1500,1400,44,05.2017.,user,Manuelni 5 brzina,,Hečbek
164000,2012,Dizel,7500,1560,66,Nije registrovan,dealer,Manuelni 5 brzina,Velur,Hečbek
185625,2005,Benzin,2900,1600,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
170000,2004,Benzin + Gas (TNG),3200,1600,83,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Kabriolet/Roadster
189000,2006,Dizel,3450,1500,63,09.2016.,user,Manuelni 5 brzina,Štof,Limuzina
160000,2003,Dizel,2100,1868,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
198000,2002,Benzin,1750,1598,79,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
230000,2003,Dizel,1700,1900,75,12.2016.,user,Manuelni 5 brzina,Štof,Karavan
252000,2006,Dizel,3100,1500,63,07.2017.,user,Manuelni 5 brzina,Štof,Hečbek
178000,2004,Dizel,2690,1461,71,06.2017.,user,Manuelni 5 brzina,Štof,Karavan
222222,2000,Benzin + Gas (TNG),1400,1600,80,11.2016.,user,Manuelni 5 brzina,,Limuzina
142915,2002,Benzin,2150,1600,79,03.2017.,user,Manuelni 5 brzina,Štof,Hečbek
160000,2013,Dizel,7399,1500,81,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
174208,2004,Dizel,2600,1461,60,12.2016.,user,Manuelni 5 brzina,Štof,Hečbek
220350,2004,Dizel,1699,1895,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
222020,2003,Dizel,999999999,1900,96,07.2017.,user,Manuelni 6 brzina,Štof,Karavan
260000,2004,Dizel,3500,1870,88,09.2016.,user,Manuelni 6 brzina,Štof,Karavan
125625,2005,Dizel,2850,1461,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
98000,2004,Benzin,2750,1598,83,Nije registrovan,dealer,Manuelni 5 brzina,,Limuzina
192730,2011,Dizel,6990,1461,81,Nije registrovan,dealer,Manuelni 5 brzina,,Karavan
302131,2003,Dizel,1501,1899,88,Nije registrovan,user,Manuelni 6 brzina,Štof,Hečbek
190000,2010,Dizel,6250,1500,66,08.2017.,user,Manuelni 5 brzina,Drugi,Karavan
142000,2002,Benzin + Gas (TNG),2200,1997,102,07.2017.,user,Manuelni 5 brzina,Prirodna koža,Kabriolet/Roadster
222000,2003,Dizel,2850,1870,88,09.2016.,user,Manuelni 6 brzina,Štof,Hečbek
201000,2007,Dizel,3650,1461,78,11.2016.,user,Manuelni 6 brzina,Štof,Kupe
172000,2005,Dizel,3100,1500,78,07.2017.,user,Manuelni 5 brzina,Štof,Limuzina
252000,2002,Dizel,2300,1496,55,08.2016.,user,Manuelni 5 brzina,Štof,Limuzina
