"kw","km","year","ac","gears","hatchback","wagon","coupe","price"
88,139150,2003,0,0,1,0,0,3500
78,186000,2002,0,0,0,1,0,2300
60,201000,2004,0,0,1,0,0,3000
78,185000,2007,1,0,0,0,0,4299
77,224000,2002,0,0,1,0,0,1950
75,183000,2002,0,0,0,1,0,2000
81,25000,2011,0,0,1,0,0,9500
60,187156,2005,0,0,1,0,0,2650
70,190000,2002,0,0,0,0,1,2000
75,147299,2002,0,0,0,1,0,2199
63,274000,2006,0,0,0,0,1,2990
63,285000,2008,0,0,0,0,1,2990
74,150000,2004,1,0,0,0,0,2650
58,206000,2003,0,0,0,0,0,3000
60,210000,2003,0,0,0,0,0,3200
83,176170,2003,0,0,1,0,0,2550
75,176000,2002,0,0,1,0,0,1999
88,133000,2003,1,0,0,0,0,2750
110,130800,2006,1,0,1,0,0,3950
74,180140,2005,0,0,0,0,0,2650
79,110977,2002,0,0,0,1,0,2150
63,181000,2005,0,0,1,0,0,2600
75,206000,2002,0,0,0,0,0,2450
96,147812,2011,1,0,0,1,0,7700
85,176000,2002,0,0,0,0,0,2450
63,180000,2008,0,0,0,0,0,4400
74,138000,2004,0,0,0,1,0,2750
59,235000,2002,0,0,0,1,0,1500
70,140400,2003,0,0,0,1,0,2150
79,187000,2001,0,0,1,0,0,2400
74,216000,2000,0,0,0,0,1,1700
70,160000,2001,0,0,0,0,0,2200
96,194000,2006,0,0,0,1,0,3999
60,195349,2003,0,0,1,0,0,2700
88,260574,2004,0,0,1,0,0,2499
63,167000,2008,0,0,1,0,0,3799
96,163000,2005,1,0,0,1,0,3100
88,164000,2003,1,0,1,0,0,3490
83,225000,2003,0,0,0,1,0,3100
75,198600,2002,0,0,0,1,0,2250
82,126000,2006,1,0,1,0,0,3700
63,150450,2006,0,0,1,0,0,1100
63,161000,2009,0,0,0,1,0,6500
63,141188,2009,0,0,0,0,0,6000
88,234000,2004,0,0,0,1,0,2450
60,241222,2005,0,0,1,0,0,2380
74,210000,2011,0,0,1,0,0,6500
61,235000,2005,0,0,1,0,0,2500
79,250000,2001,0,0,0,1,0,1500
79,180000,2001,0,0,0,1,0,2200
83,205000,2003,0,0,1,0,0,2800
88,170000,2004,0,0,0,1,0,2999
63,171382,2008,0,0,0,0,0,3800
74,325000,2004,1,0,0,1,0,3300
75,245000,2002,0,0,0,1,0,1800
78,150000,2005,0,0,1,0,0,2650
60,199945,2002,1,0,1,0,0,2750
88,190000,2003,0,0,0,1,0,2600
96,160000,2007,0,0,0,1,0,3400
88,230000,2004,0,0,0,1,0,2850
79,162000,2002,0,0,1,0,0,2400
70,140000,2000,0,0,1,0,0,1700
60,180000,2003,0,0,0,0,1,3000
60,172000,2003,0,0,0,1,0,2850
60,218000,2003,0,0,0,0,0,2650
74,163000,2005,1,0,0,1,0,2999
74,220141,2004,1,0,0,0,0,3000
72,178000,2003,0,0,1,0,0,2499
73,219968,2005,0,0,0,1,0,3000
66,129000,2012,0,0,1,0,0,6890
63,150000,2010,1,0,0,1,0,6650
75,182000,2001,0,0,0,1,0,2500
63,124000,2010,0,0,0,1,0,6250
78,200000,2008,0,0,0,1,0,3950
85,165000,2004,0,0,0,1,0,2990
63,162080,2006,0,0,1,0,0,3499
79,186000,2001,0,0,0,1,0,2200
81,191200,2006,1,0,1,0,0,4000
78,161000,2010,1,0,0,1,0,6350
63,183000,2007,0,0,0,0,0,3650
79,138000,2002,0,0,1,0,0,1950
79,194800,2002,0,0,0,1,0,2150
74,139000,2001,0,0,0,0,0,2400
70,185659,2001,0,0,0,1,0,1799
83,206000,2004,0,1,0,0,0,2999
88,224000,2004,1,0,1,0,0,2500
77,190000,2004,0,0,0,0,0,3000
96,210000,2006,0,0,0,1,0,3199
75,208000,2001,0,0,1,0,0,2250
88,169000,2005,1,0,1,0,0,3300
83,230400,2003,1,0,0,0,1,3000
63,206750,2008,0,0,0,0,0,3650
60,171601,2005,1,0,1,0,0,3350
83,143000,2003,1,0,1,0,0,2200
79,189000,2001,0,0,0,0,1,1800
74,183020,2004,0,0,0,0,0,2950
75,191100,2001,0,0,0,1,0,2200
60,219000,2004,0,0,1,0,0,2780
74,221000,2003,0,0,1,0,0,2800
88,219500,2004,0,0,0,1,0,2600
88,170000,2003,0,0,0,1,0,2600
66,127000,2011,0,0,1,0,0,5299
88,155650,2003,1,0,0,0,0,2800
59,194000,2003,0,0,0,0,0,2400
96,182000,2007,1,0,0,1,0,3300
96,172000,2010,0,0,1,0,0,6800
66,110000,2010,0,0,0,1,0,6450
96,143217,2006,0,0,0,1,0,2950
63,192000,2005,0,0,1,0,0,3300
78,151000,2007,0,0,0,0,0,3950
96,169130,2007,0,0,0,0,0,5500
74,231000,2005,0,0,1,0,0,2600
75,220000,2002,0,0,0,1,0,1750
60,240000,2003,0,0,1,0,0,3100
88,185000,2005,0,0,0,1,0,2790
60,310000,2004,0,0,0,1,0,2950
88,127548,2003,1,0,1,0,0,2600
78,145000,2006,1,0,1,0,0,3800
96,135000,2010,1,0,0,1,0,6600
88,147695,2004,1,0,0,1,0,3150
75,172775,2001,0,0,0,1,0,1999
88,240000,2004,1,0,0,0,0,3150
88,145000,2004,1,0,1,0,0,2999
60,219000,2005,1,0,0,0,0,3200
63,240000,2005,0,0,1,0,0,3100
66,155388,2011,0,0,0,1,0,6600
63,163214,2006,1,0,0,1,0,3750
88,140899,2004,1,0,0,0,0,2990
889,146243,2004,1,0,0,1,0,3300
96,224000,2010,0,0,0,1,0,5950
77,161000,2005,0,0,1,0,0,3400
84,219000,2004,0,0,1,0,0,2650
60,216200,2003,0,0,0,0,0,2590
83,163000,2003,0,0,0,0,0,2590
63,233000,2006,0,0,1,0,0,2550
77,40000,2012,0,0,1,0,0,8300
96,180000,2006,0,0,1,0,0,3890
60,165000,2002,1,0,0,0,0,2800
74,173000,2005,1,0,1,0,0,3300
66,133400,2012,0,0,0,1,0,7350
70,160000,2002,0,0,0,1,0,2250
59,190000,2003,1,0,0,0,0,3200
59,250100,2002,0,0,0,1,0,1950
88,184520,2003,1,0,1,0,0,2550
88,185000,2004,0,0,0,0,0,3350
74,117000,2010,0,0,1,0,0,7000
75,157000,2002,0,0,0,1,0,2150
88,189700,2004,0,0,1,0,0,2599
88,213000,2003,1,0,0,0,0,2850
88,140000,2003,1,0,1,0,0,3400
78,166156,2006,1,0,1,0,0,2800
77,134113,2002,0,0,1,0,0,1955
88,215000,2003,0,0,0,1,0,1890
60,200000,2004,0,0,1,0,0,2800
88,187000,2003,1,0,1,0,0,2999
60,250000,2005,1,0,0,0,1,3500
59,180000,2001,0,0,0,1,0,1900
75,150000,2002,1,0,0,1,0,2400
63,153000,2007,1,0,0,0,0,3550
88,186000,2004,0,0,0,1,0,3250
88,175000,2003,1,0,1,0,0,2600
74,121000,2005,0,0,0,1,0,3150
85,160000,2007,1,0,0,1,0,2950
60,224890,2003,1,0,0,0,0,2650
74,163400,2004,0,0,1,0,0,2950
81,46699,2010,0,0,1,0,0,7299
60,222000,2004,0,0,1,0,0,2950
79,168000,2002,0,0,0,1,0,1550
81,67000,2011,1,0,0,0,0,9500
63,180000,2007,0,0,1,0,0,4000
60,193600,2004,0,0,1,0,0,2799
60,221000,2003,0,0,1,0,0,2500
83,200000,2003,1,0,0,0,0,3100
70,192000,2000,0,0,0,1,0,1700
75,205000,2002,0,0,0,0,0,2000
75,270000,2001,0,0,1,0,0,2100
79,217300,2002,0,0,1,0,0,2300
85,255000,2001,0,0,0,1,0,1800
66,133000,2011,0,0,0,0,0,6700
83,130532,2002,0,0,0,0,0,2600
78,151200,2005,1,0,1,0,0,3590
96,152000,2010,0,0,0,1,0,6350
88,115215,2003,0,0,1,0,0,2600
79,202321,2002,0,0,0,1,0,800
